ID,Background,Mutation,Sex,Block,Deletion,Centroid_Size
ORE_sd_M_B2_7516_4,ORE,sd,M,B2,7516,0.778761122
ORE_sd_M_B2_7516_5,ORE,sd,M,B2,7516,0.87678975
ORE_sd_M_B2_7516_6,ORE,sd,M,B2,7516,0.914248722
ORE_sd_M_B2_7522_2,ORE,sd,M,B2,7522,1.180684657
ORE_sd_M_B2_7522_3,ORE,sd,M,B2,7522,1.159370305
ORE_sd_M_B2_7524_1,ORE,sd,M,B2,7524,0.994923553
ORE_sd_M_B2_7524_2,ORE,sd,M,B2,7524,1.838646904
ORE_sd_M_B2_7524_3,ORE,sd,M,B2,7524,1.907914648
ORE_sd_M_B2_7524_4,ORE,sd,M,B2,7524,0.732537026
ORE_sd_M_B2_7524_5,ORE,sd,M,B2,7524,0.778062935
ORE_sd_M_B2_7524_6,ORE,sd,M,B2,7524,1.764235938
ORE_sd_M_B2_7525_1,ORE,sd,M,B2,7525,1.656393738
ORE_sd_M_B2_7525_2,ORE,sd,M,B2,7525,1.64469689
ORE_sd_M_B2_7525_3,ORE,sd,M,B2,7525,1.258960636
ORE_sd_M_B2_7525_4,ORE,sd,M,B2,7525,1.695022395
ORE_sd_M_B2_7525_5,ORE,sd,M,B2,7525,1.809336548
ORE_sd_M_B2_7525_6,ORE,sd,M,B2,7525,1.675459195
ORE_sd_M_B2_7526_1,ORE,sd,M,B2,7526,2.020648244
ORE_sd_M_B2_7526_2,ORE,sd,M,B2,7526,1.818399554
ORE_sd_M_B2_7526_3,ORE,sd,M,B2,7526,1.970686147
ORE_sd_M_B2_7526_4,ORE,sd,M,B2,7526,1.911959114
ORE_sd_M_B2_7526_5,ORE,sd,M,B2,7526,1.896939186
ORE_sd_M_B2_7526_6,ORE,sd,M,B2,7526,1.841123641
ORE_sd_M_B2_7529_1,ORE,sd,M,B2,7529,1.855678252
ORE_sd_M_B2_7529_2,ORE,sd,M,B2,7529,1.869620429
ORE_sd_M_B2_7529_3,ORE,sd,M,B2,7529,1.597059002
ORE_sd_M_B2_7529_4,ORE,sd,M,B2,7529,1.867923823
ORE_sd_M_B2_7529_5,ORE,sd,M,B2,7529,1.795032796
ORE_sd_M_B2_7540_1,ORE,sd,M,B2,7540,1.553987257
