Deletion,Background,Sex,Block,Numeric_Phenotype
7875,ORE,M,B2,7
7875,ORE,M,B2,7
7875,ORE,M,B2,7
7875,ORE,M,B2,7
7875,ORE,M,B3,7
7875,ORE,M,B3,7
7875,ORE,M,B3,6
7875,ORE,M,B3,6
7875,ORE,M,B3,5
7875,ORE,M,B3,5
7875,ORE,M,B3,5
7879,ORE,M,B1,7
7879,ORE,M,B1,7
7879,ORE,M,B1,7
7879,ORE,M,B1,7
7879,ORE,M,B1,7
7879,ORE,M,B1,7
7879,ORE,M,B1,7
7894,ORE,M,B1,7
7894,ORE,M,B1,6
7894,ORE,M,B1,5
7894,ORE,M,B2,7
7894,ORE,M,B2,7
7894,ORE,M,B2,6
7894,ORE,M,B2,6
7894,ORE,M,B2,6
7894,ORE,M,B3,7
7894,ORE,M,B3,7
7894,ORE,M,B3,7
7894,ORE,M,B3,6
7894,ORE,M,B3,6
7894,ORE,M,B3,7
7949,ORE,M,B2,7
7949,ORE,M,B2,7
7949,ORE,M,B2,7
7949,ORE,M,B2,7
7949,ORE,M,B2,7
7949,ORE,M,B2,8
7949,ORE,M,B2,8
7949,ORE,M,B3,7
7949,ORE,M,B3,7
7949,ORE,M,B3,7
7949,ORE,M,B3,7
7949,ORE,M,B3,7
7949,ORE,M,B3,8
7949,ORE,M,B3,8
7960,ORE,M,B2,8
7960,ORE,M,B2,8
7960,ORE,M,B2,8
7960,ORE,M,B2,8
7960,ORE,M,B2,8
7960,ORE,M,B2,8
7960,ORE,M,B2,7
7960,ORE,M,B3,7
7960,ORE,M,B3,7
7960,ORE,M,B3,7
7960,ORE,M,B3,8
7960,ORE,M,B3,8
7960,ORE,M,B3,2
7960,ORE,M,B3,2
7976,ORE,M,B2,7
7976,ORE,M,B2,7
7976,ORE,M,B2,7
7976,ORE,M,B2,7
7976,ORE,M,B2,7
7976,ORE,M,B2,7
7993,ORE,M,B2,7
7993,ORE,M,B2,6
7993,ORE,M,B2,6
7993,ORE,M,B2,6
7993,ORE,M,B2,6
7995,ORE,M,B2,4
7995,ORE,M,B2,4
7995,ORE,M,B2,4
7995,ORE,M,B2,4
7995,ORE,M,B2,4
7995,ORE,M,B2,4
7995,ORE,M,B2,4
7998,ORE,M,B2,7
7998,ORE,M,B2,7
7998,ORE,M,B2,7
7998,ORE,M,B2,6
7998,ORE,M,B2,6
7998,ORE,M,B2,8
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,4
6326,SAM,M,B1,5
6326,SAM,M,B1,5
6326,SAM,M,B1,5
6326,SAM,M,B1,5
6326,SAM,M,B1,5
6326,SAM,M,B1,5
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,4
6326,SAM,M,B2,4
