Background,Mutation,Sex,Batch,Deletion,Centroid_Size
ORE,sdETX4,M,B2,6326,1.628962
ORE,sdETX4,M,B2,6326,1.92122
ORE,sdETX4,M,B2,6326,1.818748
ORE,sdETX4,M,B2,6326,1.875336
ORE,sdETX4,M,B2,6326,1.853943
ORE,sdETX4,M,B2,6326,1.822654
ORE,sdETX4,M,B2,7540,1.846138
ORE,sdETX4,M,B2,7540,1.514912
ORE,sdETX4,M,B2,7540,1.793164
ORE,sdETX4,M,B2,7540,1.944717
ORE,sdETX4,M,B2,7540,1.753595
ORE,sdETX4,M,B2,7540,1.92854
ORE,sdETX4,M,B2,7724,1.689668
ORE,sdETX4,M,B2,7724,1.915783
ORE,sdETX4,M,B2,7724,1.742472
ORE,sdETX4,M,B2,7724,2.002482
ORE,sdETX4,M,B2,7724,1.806544
ORE,sdETX4,M,B2,7724,1.771669
ORE,sdETX4,M,B2,7741,1.679673
ORE,sdETX4,M,B2,7741,1.932339
ORE,sdETX4,M,B2,7741,1.874695
ORE,sdETX4,M,B2,7741,1.875864
ORE,sdETX4,M,B2,7741,1.969983
ORE,sdETX4,M,B2,7741,1.87057
ORE,sdETX4,M,B2,7845,1.650589
ORE,sdETX4,M,B2,7845,1.750136
ORE,sdETX4,M,B2,7845,1.626826
ORE,sdETX4,M,B2,7845,1.913492
ORE,sdETX4,M,B2,7845,1.806106
ORE,sdETX4,M,B2,7845,1.781811
ORE,sdETX4,M,B2,7875,1.829966
ORE,sdETX4,M,B2,7875,1.793802
ORE,sdETX4,M,B2,7875,1.651799
ORE,sdETX4,M,B2,7875,1.826302
ORE,sdETX4,M,B2,7875,1.683112
ORE,sdETX4,M,B2,7875,1.689779
ORE,sdETX4,M,B3,6326,1.581299
ORE,sdETX4,M,B3,6326,1.418867
ORE,sdETX4,M,B3,6326,1.620609
ORE,sdETX4,M,B3,6326,1.740853
ORE,sdETX4,M,B3,6326,1.537823
ORE,sdETX4,M,B3,6326,1.769948
ORE,sdETX4,M,B3,6326,1.838166
ORE,sdETX4,M,B3,6326,2.06111
ORE,sdETX4,M,B3,6326,1.87201
ORE,sdETX4,M,B3,7491,1.510764
ORE,sdETX4,M,B3,7491,1.582948
ORE,sdETX4,M,B3,7491,1.451335
ORE,sdETX4,M,B3,7503,0.675377
ORE,sdETX4,M,B3,7503,1.135421
ORE,sdETX4,M,B3,7503,1.069435
ORE,sdETX4,M,B3,7503,0.81507
ORE,sdETX4,M,B3,7503,0.702601
ORE,sdETX4,M,B3,7503,0.704403
ORE,sdETX4,M,B3,7505,1.979307
ORE,sdETX4,M,B3,7505,1.899268
ORE,sdETX4,M,B3,7505,1.887265
ORE,sdETX4,M,B3,7505,1.900702
ORE,sdETX4,M,B3,7505,1.856338
ORE,sdETX4,M,B3,7505,2.056923
ORE,sdETX4,M,B3,7516,1.508445
ORE,sdETX4,M,B3,7516,1.377921
ORE,sdETX4,M,B3,7516,0.65603
ORE,sdETX4,M,B3,7516,0.674965
ORE,sdETX4,M,B3,7516,0.723076
ORE,sdETX4,M,B3,7516,1.135864
ORE,sdETX4,M,B3,7522,0.536795
ORE,sdETX4,M,B3,7522,1.758723
ORE,sdETX4,M,B3,7522,0.542674
ORE,sdETX4,M,B3,7522,1.752824
ORE,sdETX4,M,B3,7522,1.500637
ORE,sdETX4,M,B3,7522,0.560363
ORE,sdETX4,M,B3,7529,1.798274
ORE,sdETX4,M,B3,7529,1.641343
ORE,sdETX4,M,B3,7529,1.564057
ORE,sdETX4,M,B3,7529,1.54748
ORE,sdETX4,M,B3,7529,1.879157
ORE,sdETX4,M,B3,7529,1.747668
ORE,sdETX4,M,B3,7544,1.629322
ORE,sdETX4,M,B3,7544,1.765504
ORE,sdETX4,M,B3,7544,1.754565
ORE,sdETX4,M,B3,7544,1.634168
ORE,sdETX4,M,B3,7544,1.832546
ORE,sdETX4,M,B3,7544,1.653405
ORE,sdETX4,M,B3,7585,0.943397
ORE,sdETX4,M,B3,7585,1.316714
ORE,sdETX4,M,B3,7585,1.1409
ORE,sdETX4,M,B3,7585,1.735358
ORE,sdETX4,M,B3,7585,1.074606
ORE,sdETX4,M,B3,7585,1.280212
ORE,sdETX4,M,B3,7606,1.718936
ORE,sdETX4,M,B3,7606,1.774084
ORE,sdETX4,M,B3,7606,1.742103
ORE,sdETX4,M,B3,7606,1.56841
ORE,sdETX4,M,B3,7606,1.762091
ORE,sdETX4,M,B3,7606,1.264958
ORE,sdETX4,M,B3,7611,1.919063
ORE,sdETX4,M,B3,7611,1.976232
ORE,sdETX4,M,B3,7611,1.764819
ORE,sdETX4,M,B3,7611,1.916198
ORE,sdETX4,M,B3,7611,1.798586
ORE,sdETX4,M,B3,7541,1.762793
ORE,sdETX4,M,B3,7541,1.843878
ORE,sdETX4,M,B3,7541,1.913758
ORE,sdETX4,M,B3,7541,1.700596
ORE,sdETX4,M,B3,7541,1.645712
ORE,sdETX4,M,B3,7541,1.887177
ORE,sdETX4,M,B3,7686,0.8298
ORE,sdETX4,M,B3,7686,0.97844
ORE,sdETX4,M,B3,7686,1.158249
ORE,sdETX4,M,B3,7686,0.612683
ORE,sdETX4,M,B3,7686,0.675798
ORE,sdETX4,M,B3,7686,0.582121
ORE,sdETX4,M,B3,7737,1.363608
ORE,sdETX4,M,B3,7737,1.71159
ORE,sdETX4,M,B3,7737,1.786866
ORE,sdETX4,M,B3,7737,1.702583
ORE,sdETX4,M,B3,7737,1.753047
ORE,sdETX4,M,B3,7737,1.904495
ORE,sdETX4,M,B3,7795,0.763841
ORE,sdETX4,M,B3,7795,1.582942
ORE,sdETX4,M,B3,7795,1.428873
ORE,sdETX4,M,B3,7795,1.58138
ORE,sdETX4,M,B3,7795,0.641547
ORE,sdETX4,M,B3,7795,1.803432
ORE,sdETX4,M,B3,7840,0.604617
ORE,sdETX4,M,B3,7840,0.586632
ORE,sdETX4,M,B3,7840,0.554689
ORE,sdETX4,M,B3,7840,0.532152
ORE,sdETX4,M,B3,7840,0.463297
ORE,sdETX4,M,B3,7840,0.632698
ORE,sdETX4,M,B3,7894,1.938164
ORE,sdETX4,M,B3,7894,1.753445
ORE,sdETX4,M,B3,7894,1.89826
ORE,sdETX4,M,B3,7894,1.8987
ORE,sdETX4,M,B3,7894,1.917468
ORE,sdETX4,M,B3,7960,0.574103
ORE,sdETX4,M,B3,7960,0.525937
ORE,sdETX4,M,B3,7960,0.642901
ORE,sdETX4,M,B3,7960,0.571938
ORE,sdETX4,M,B3,7960,0.820355
ORE,sdETX4,M,B3,7976,1.138107
ORE,sdETX4,M,B3,7976,0.79158
ORE,sdETX4,M,B3,7976,1.127311
ORE,sdETX4,M,B3,7976,0.674002
ORE,sdETX4,M,B3,7976,1.581452
ORE,sdETX4,M,B3,7976,0.692259
ORE,sdETX4,M,B3,7993,0.838221
ORE,sdETX4,M,B3,7993,1.754389
ORE,sdETX4,M,B3,7993,1.084328
ORE,sdETX4,M,B3,7995,1.70747
ORE,sdETX4,M,B3,7995,1.819323
ORE,sdETX4,M,B3,7995,1.64936
ORE,sdETX4,M,B3,7995,1.859929
ORE,sdETX4,M,B3,7995,1.277238
SAM,sdETX4,M,B1,6326,1.835353
SAM,sdETX4,M,B1,6326,1.698821
SAM,sdETX4,M,B1,6326,1.817773
SAM,sdETX4,M,B1,6326,1.779933
SAM,sdETX4,M,B1,6326,1.645769
SAM,sdETX4,M,B1,6326,1.825456
SAM,sdETX4,M,B1,6326,1.804576
SAM,sdETX4,M,B1,6326,1.825301
SAM,sdETX4,M,B1,6326,1.765971
SAM,sdETX4,M,B1,7625,1.846585
SAM,sdETX4,M,B1,7625,1.76231
SAM,sdETX4,M,B1,7625,1.868954
SAM,sdETX4,M,B1,7625,1.8803
SAM,sdETX4,M,B1,7625,1.971847
SAM,sdETX4,M,B1,7625,1.766663
SAM,sdETX4,M,B1,7677,1.666545
SAM,sdETX4,M,B1,7677,1.467175
SAM,sdETX4,M,B1,7677,1.633617
SAM,sdETX4,M,B1,7677,1.772607
SAM,sdETX4,M,B1,7677,1.752765
SAM,sdETX4,M,B1,7677,1.698323
SAM,sdETX4,M,B1,7834,1.690958
SAM,sdETX4,M,B1,7834,1.735356
SAM,sdETX4,M,B1,7834,1.617595
SAM,sdETX4,M,B1,7834,1.713757
SAM,sdETX4,M,B1,7834,1.727535
SAM,sdETX4,M,B1,7834,1.618087
SAM,sdETX4,M,B1,7949,1.714599
SAM,sdETX4,M,B1,7949,1.702278
SAM,sdETX4,M,B1,7949,1.770996
SAM,sdETX4,M,B1,7949,1.703891
SAM,sdETX4,M,B1,7949,1.801433
SAM,sdETX4,M,B1,7949,1.867008
SAM,sdETX4,M,B1,7998,1.756276
SAM,sdETX4,M,B1,7998,1.779225
SAM,sdETX4,M,B1,7998,1.709663
SAM,sdETX4,M,B1,7998,1.722351
SAM,sdETX4,M,B1,7998,1.588602
SAM,sdETX4,M,B1,7998,1.551333
SAM,sdETX4,M,B2,6326,1.702642
SAM,sdETX4,M,B2,6326,1.822183
SAM,sdETX4,M,B2,6326,1.841861
SAM,sdETX4,M,B2,6326,1.809196
SAM,sdETX4,M,B2,6326,1.853737
SAM,sdETX4,M,B2,6326,1.91061
SAM,sdETX4,M,B2,6326,1.790531
SAM,sdETX4,M,B2,6326,1.83614
SAM,sdETX4,M,B2,6326,1.797233
SAM,sdETX4,M,B2,7492,1.888249
SAM,sdETX4,M,B2,7492,1.826008
SAM,sdETX4,M,B2,7492,1.819569
SAM,sdETX4,M,B2,7492,1.765701
SAM,sdETX4,M,B2,7492,1.751016
SAM,sdETX4,M,B2,7492,1.796447
SAM,sdETX4,M,B2,7540,1.827293
SAM,sdETX4,M,B2,7540,1.806018
SAM,sdETX4,M,B2,7540,1.809622
SAM,sdETX4,M,B2,7540,1.756272
SAM,sdETX4,M,B2,7540,1.755107
SAM,sdETX4,M,B2,7540,1.760639
SAM,sdETX4,M,B2,7554,1.820116
SAM,sdETX4,M,B2,7554,1.731994
SAM,sdETX4,M,B2,7554,1.465083
SAM,sdETX4,M,B2,7724,1.829881
SAM,sdETX4,M,B2,7724,1.778144
SAM,sdETX4,M,B2,7724,1.817815
SAM,sdETX4,M,B2,7724,1.898435
SAM,sdETX4,M,B2,7724,1.864594
SAM,sdETX4,M,B2,7724,1.827729
SAM,sdETX4,M,B2,7741,1.792961
SAM,sdETX4,M,B2,7741,1.813592
SAM,sdETX4,M,B2,7741,1.83398
SAM,sdETX4,M,B2,7741,1.741559
SAM,sdETX4,M,B2,7741,1.793217
SAM,sdETX4,M,B2,7741,1.800748
SAM,sdETX4,M,B2,7845,1.888424
SAM,sdETX4,M,B2,7845,1.746312
SAM,sdETX4,M,B2,7845,1.782526
SAM,sdETX4,M,B2,7845,1.830266
SAM,sdETX4,M,B2,7845,1.803788
SAM,sdETX4,M,B2,7845,1.848293
SAM,sdETX4,M,B2,7875,1.675781
SAM,sdETX4,M,B2,7875,1.746588
SAM,sdETX4,M,B2,7875,1.774387
SAM,sdETX4,M,B2,7875,1.664339
SAM,sdETX4,M,B3,6326,1.717557
SAM,sdETX4,M,B3,6326,1.846721
SAM,sdETX4,M,B3,6326,1.780716
SAM,sdETX4,M,B3,6326,1.81879
SAM,sdETX4,M,B3,6326,1.810088
SAM,sdETX4,M,B3,6326,1.889551
SAM,sdETX4,M,B3,7491,1.7347
SAM,sdETX4,M,B3,7491,1.676252
SAM,sdETX4,M,B3,7491,0.994853
SAM,sdETX4,M,B3,7491,0.524513
SAM,sdETX4,M,B3,7491,1.720782
SAM,sdETX4,M,B3,7491,0.986204
SAM,sdETX4,M,B3,7505,1.852881
SAM,sdETX4,M,B3,7505,1.677069
SAM,sdETX4,M,B3,7505,1.732138
SAM,sdETX4,M,B3,7505,1.796825
SAM,sdETX4,M,B3,7505,1.898011
SAM,sdETX4,M,B3,7505,1.85152
SAM,sdETX4,M,B3,7516,1.685561
SAM,sdETX4,M,B3,7516,1.732718
SAM,sdETX4,M,B3,7516,1.723773
SAM,sdETX4,M,B3,7516,1.801819
SAM,sdETX4,M,B3,7516,1.634162
SAM,sdETX4,M,B3,7516,1.724797
SAM,sdETX4,M,B3,7522,1.657552
SAM,sdETX4,M,B3,7522,1.703013
SAM,sdETX4,M,B3,7522,1.500051
SAM,sdETX4,M,B3,7522,1.752035
SAM,sdETX4,M,B3,7522,1.6182
SAM,sdETX4,M,B3,7522,1.69966
