Stock_Number,Deletion,Rxn_Norm,Chromosome,Background,Block,Numeric_Phenotype,Deletion_Set,Gene
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,SAM,3,5,Exelixis,salm
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,SAM,3,5,Exelixis,salm
7512,Df(2L)Exel6029,sd[E3] X Df(salm),2L,SAM,3,5,Exelixis,salm
5905,Control,sd[E3],2R,ORE,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,2,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,5,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
5905,Control,sd[E3],2R,ORE,3,4,DrosDel,Dll
